"Municipio","DRS","Minimo","Mediana","Máximo"
"SÃO SEBASTIÃO DA GRAMA","São João da Boa Vista",0.746324067677513,0.835321901582631,0.907773571096058
"SANTA CRUZ DO RIO PARDO","Marília",0.762135371760868,0.834671214009374,0.90808684802598
"CLEMENTINA","Araçatuba",0.731670351500481,0.833197300234365,0.900892573208649
"MARACAÍ","Marília",0.734861359750316,0.82984249510514,0.907935828474061
"MONTE APRAZÍVEL","São José do Rio Preto",0.74919459891015,0.828417799347767,0.901510640470889
"AMERICANA","Campinas",0.754975121528467,0.827661970360436,0.904675187195885
"MIGUELÓPOLIS","Franca",0.73593257941387,0.826691013466309,0.903385775576109
"ITATINGA","Bauru",0.733378000060117,0.820576058064731,0.898662439915272
"PARANAPUÃ","São José do Rio Preto",0.73665437425582,0.81871564441312,0.888321173134568
"CORDEIRÓPOLIS","Piracicaba",0.322585840134999,0.817379908443519,0.948278269251059
"MOGI DAS CRUZES","Grande São Paulo",0.736852399771042,0.813913731157773,0.887449339914298
"CAJURU","Ribeirão Preto",0.734351597045564,0.813481538556802,0.884070823874875
"VIRADOURO","Barretos",0.736583725874419,0.81321353338851,0.890921245042269
"RIBEIRÃO GRANDE","Sorocaba",0.733270091207245,0.811610031760308,0.88195433471361
"MERIDIANO","São José do Rio Preto",0.719248949115284,0.811351006336045,0.892653505725905
"PITANGUEIRAS","Ribeirão Preto",0.729019866415768,0.80902836717655,0.883773752478371
"CAFELÂNDIA","Bauru",0.718080079373604,0.807585782173101,0.885358481435481
"JUQUITIBA","Grande São Paulo",0.725275748230307,0.805568662219856,0.875988460318685
"BÁLSAMO","São José do Rio Preto",0.713992178778302,0.804048515850766,0.925999100288496
"SÃO PAULO","Grande São Paulo",0.725705432482789,0.79999389602077,0.872047753368449
"CRAVINHOS","Ribeirão Preto",0.715339434918077,0.797968691333466,0.867047686590607
"MORUNGABA","Campinas",0.719685183251297,0.795693865591972,0.863279916922547
"POTIM","Taubaté",0.707452683376448,0.793690977297165,0.869254543533112
"JANDIRA","Grande São Paulo",0.714885806709372,0.791656319389452,0.858524729591037
"TUIUTI","Campinas",0.711804690142608,0.790553183644974,0.858709907194762
"RIO GRANDE DA SERRA","Grande São Paulo",0.719495230923075,0.790448593403529,0.864824794739252
"SÃO VICENTE","Baixada Santista",0.710734551514511,0.790425126950577,0.861956455031212
