Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
OCAUÇU,2020-08-15,2020-08-15,2020-08-15,0.0118612861397573,0.013555755588294,0.015815048186343
AMÉRICO BRASILIENSE,2020-08-15,2020-08-15,2020-08-15,0.0903547671840355,0.103262591067469,0.120473022912047
URUPÊS,2020-08-15,2020-08-15,2020-08-15,0.150574583145561,0.172085237880641,0.200766110860748
RIBEIRÃO CORRENTE,2020-09-20,2020-10-05,2020-10-18,8.93582368941096e-07,8.51167962116962e-06,1.60470323681137e-05
MONTE APRAZÍVEL,2020-08-15,2020-08-15,2020-08-15,0.0868223661779748,0.0992255613462572,0.115763154903966
BASTOS,2020-08-15,2020-08-15,2020-08-15,0.0142023294568145,0.0162312336649311,0.0189364392757529
SÃO LOURENÇO DA SERRA,2020-08-15,2020-08-15,2020-08-15,0.0358527131782944,0.0409745293466219,0.0478036175710592
AMÉRICO DE CAMPOS,2020-08-15,2020-08-15,2020-08-15,0.084711991305398,0.0968137043490263,0.112949321740531
CAÇAPAVA,2020-08-15,2020-08-15,2020-08-15,0.552144800537082,0.631022629185239,0.736193067382779
CEDRAL,2020-08-15,2020-08-15,2020-08-15,0.0644547759932377,0.0736626011351285,0.0859397013243166
OSVALDO CRUZ,2020-08-15,2020-08-15,2020-08-15,0.0444798230240897,0.0508340834561025,0.0593064306987863
OURO VERDE,2020-08-15,2020-08-15,2020-12-30,0.00615402036118462,0.00723905435570703,0.0124945835388199
VOTUPORANGA,2020-08-15,2020-08-15,2020-08-15,1.0859615618723,1.24109892785405,1.44794874916307
PAULISTÂNIA,2020-09-10,2020-09-12,2020-09-16,2.42926066056597e-07,2.48391621316264e-06,4.11441583550227e-06
ADAMANTINA,2020-08-15,2020-08-15,2020-08-15,0.0489631336405534,0.0559578670177752,0.0652841781874036
JUNQUEIRÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.0520307031816443,0.0594636607790222,0.0693742709088592
JACI,2020-08-15,2020-08-15,2020-08-15,0.0815813307571549,0.0932358065796057,0.108775107676206
ITARIRI,2020-08-15,2020-08-15,2020-08-15,0.0306079745669132,0.0349805423621863,0.0408106327558837
GAVIÃO PEIXOTO,2020-08-15,2020-08-15,2020-08-15,0.0376940133037693,0.0430788723471651,0.0502586844050259
REGINÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.00781619782272203,0.00893279751168219,0.0104215970969626
PARIQUERA-AÇU,2020-08-15,2020-08-15,2020-08-15,0.0272058823529413,0.0310924369747898,0.0362745098039214
QUADRA,2020-08-15,2020-08-15,2020-08-15,0.0043888181665013,0.0050157921902872,0.00585175755533506
ANGATUBA,2020-08-15,2020-08-15,2020-08-15,0.074410417095681,0.0850404766807786,0.0992138894609083
VINHEDO,2020-08-15,2020-08-15,2020-08-15,0.288845386426274,0.3301090130586,0.385127181901698
ÁGUAS DE SANTA BÁRBARA,2020-08-15,2020-08-15,2020-08-15,0.00795577278384201,0.0090923117529623,0.0106076970451227
ADOLFO,2020-08-15,2020-08-15,2020-08-15,0.0219146238377008,0.0250452843859437,0.0292194984502676
ARAÇATUBA,2020-08-15,2020-08-15,2020-08-15,1.37003892897835,1.56575877597525,1.82671857197113
EMBU DAS ARTES,2020-08-15,2020-08-15,2020-08-15,0.958570095948829,1.09550868108437,1.27809346126512
TABOÃO DA SERRA,2020-08-15,2020-08-15,2020-08-15,2.40970801656846,2.75395201893537,3.21294402209128
SANTA MERCEDES,2020-09-11,2020-09-14,2020-09-17,4.29160948745977e-07,4.33050504474158e-06,7.12932161175397e-06
SÃO JOAQUIM DA BARRA,2020-08-15,2020-08-15,2020-08-15,0.218530997304581,0.249749711205237,0.291374663072777
PLATINA,2020-09-25,2020-10-11,2020-10-24,0.00992898502134884,0.0233326672929368,0.0402848197251334
JUQUIÁ,2020-08-15,2020-08-15,2020-08-15,0.0847605449545288,0.0968691942337472,0.113014059939371
OLÍMPIA,2020-08-15,2020-08-15,2020-08-15,0.594031439331914,0.678893073522186,0.79204191910922
MERIDIANO,2020-08-15,2020-08-15,2020-08-15,0.0478806907378336,0.054720789414667,0.0638409209837781
URÂNIA,2020-08-15,2020-08-15,2020-08-15,0.119194813027744,0.136222643460279,0.158926417370326
MONTE AZUL PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.0219264301009483,0.0250587772582267,0.0292352401345979
MONÇÕES,2020-08-15,2020-08-15,2020-08-15,0.0040514430624321,0.00463022064277952,0.0054019240832428
NOVA CASTILHO,2020-08-15,2020-08-15,2020-08-15,0.00482731689813987,0.0055169335978742,0.00643642253085286
ITAPEVI,2020-08-15,2020-08-15,2020-08-15,1.31562221456932,1.50356824522208,1.75416295275909
AGUDOS,2020-08-15,2020-08-15,2020-08-15,0.114819587628866,0.131222385861561,0.153092783505154
PEDREIRA,2020-08-15,2020-08-15,2020-08-15,0.219985210928609,0.251411669632696,0.293313614571479
QUINTANA,2020-08-15,2020-08-15,2020-08-15,0.0249711287152785,0.0285384328174611,0.033294838287038
POÁ,2020-08-15,2020-08-15,2020-08-15,0.61643676235154,0.704499156973185,0.821915683135387
BOITUVA,2020-08-15,2020-08-15,2020-08-15,0.112217282041369,0.128248322332993,0.149623042721824
SANTA ROSA DE VITERBO,2020-08-15,2020-08-15,2020-08-15,0.0679426856887395,0.0776487836442739,0.090590247584986
JACAREÍ,2020-08-15,2020-08-15,2020-08-15,1.37605612034621,1.57263556610994,1.83474149379494
ITIRAPUÃ,2020-08-15,2020-08-15,2020-08-15,0.00357063191102891,0.0040807221840331,0.00476084254803855
PERUÍBE,2020-08-15,2020-08-15,2020-08-15,0.337625455634893,0.385857663582733,0.450167274179858
BARRA DO CHAPÉU,2020-08-15,2020-08-15,2020-08-15,0.0201486652189378,0.0230270459645003,0.0268648869585837
TAQUARITUBA,2020-08-15,2020-08-15,2020-08-15,0.0145157959564837,0.0165894810931242,0.0193543946086447
CÁSSIA DOS COQUEIROS,2020-08-15,2020-08-15,2020-08-15,0.0301011898620998,0.0344013598423998,0.0401349198161331
DOURADO,2020-08-15,2020-08-15,2020-08-15,0.00983924611973394,0.0112448527082674,0.0131189948263119
GUARAÇAÍ,2020-08-15,2020-08-15,2020-08-15,0.010727370884755,0.0122598524397201,0.0143031611796734
MOMBUCA,2020-08-15,2020-08-15,2020-08-15,0.0102733087807715,0.0117409243208817,0.0136977450410286
COLÔMBIA,2020-08-15,2020-08-15,2020-10-18,0.018874681350056,0.0217784784808339,0.0260657552469743
TAPIRATIBA,2020-08-15,2020-08-15,2020-08-15,0.0459552452797942,0.0525202803197646,0.0612736603730588
INDIAPORÃ,2020-08-15,2020-08-15,2020-10-21,0.0106074145634585,0.0122393244962983,0.013954290723056
VARGEM,2020-08-15,2020-08-15,2020-08-15,0.00534180423888442,0.00610491913015365,0.00712240565184596
TAQUARIVAÍ,2020-08-15,2020-08-15,2020-11-04,0.0107725536814123,0.012785008764753,0.0143634049085497
REGISTRO,2020-08-15,2020-08-15,2020-08-15,0.339979103343467,0.388547546678247,0.453305471124622
MAIRIPORÃ,2020-08-15,2020-08-15,2020-08-15,0.358115400060235,0.40927474292598,0.477487200080311
EUCLIDES DA CUNHA PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.00520307031816447,0.005946366077902,0.00693742709088596
